filename,station,res_tier,part,bytes,sha256
quarter_res_trees_Scan_1000_0.lsp,1000,quarter,0,49700771,b8adc387de9362e44265b106009b866223c34b201f7e21c836bddf62aef24ade
quarter_res_trees_Scan_1000_1.lsp,1000,quarter,1,47856311,8ff7f9e003b25c6b4da11f4595d2a9140a8334284f8f15801d0340304d873eec
quarter_res_trees_Scan_1000_2.lsp,1000,quarter,2,40084879,5ac2cb8bab3d50863f7aecc721fa99af59a422d16d382b27246d4bca15389b61
quarter_res_trees_Scan_1000_3.lsp,1000,quarter,3,49980676,b01b012702c462b440253c735cf5521033180fed222be8571ef9418167ed9ee6
quarter_res_trees_Scan_1000_4.lsp,1000,quarter,4,81933297,8bf596b6d719a0fae4edd1049d4f58d2cd895533478cd46838c57198f870fd0f
quarter_res_trees_Scan_1000_5.lsp,1000,quarter,5,55558685,50be5e8a2f6848a96804a5600ebe666f8ee0be35b2e07fb5b16b920e311144cd
quarter_res_trees_Scan_1001_0.lsp,1001,quarter,0,38759552,3c88fbe0fe119149908dd057d8c8f3db10e4ec5950d0db7ca8c0794d79db7ee4
quarter_res_trees_Scan_1001_1.lsp,1001,quarter,1,38261575,18687e093372a439ebc67a103d00e80a202e3edf4624ad64ded45f9cd2609931
quarter_res_trees_Scan_1001_2.lsp,1001,quarter,2,45058676,8a3a6d9d881440ca4e4da85d5908d6b2d580998092cb124f17a2c44e4486041c
quarter_res_trees_Scan_1001_3.lsp,1001,quarter,3,44747647,d71fdd607815cbcde51362d2747f029c10e5c3216039f19d4eec71e8e1827f4e
quarter_res_trees_Scan_1001_4.lsp,1001,quarter,4,26854020,38cf36fd531b2b2e561f83c9611e9dcbef66f95349b397d876e56c01537bcf13
quarter_res_trees_Scan_1001_5.lsp,1001,quarter,5,55070309,7e09698b9e286d4b978b82c9b6acd56e9829f83aa2c78d11f5e9d7fa56162482
quarter_res_trees_Scan_1002_0.lsp,1002,quarter,0,41761330,9e931e2bcbed75eecbdbbc65ea2d7c48dbedd036ae4f199703cdff0d93a0690b
quarter_res_trees_Scan_1002_1.lsp,1002,quarter,1,40931661,00fc297fdbbd5ea189261c0054873511c0009abd5b8b4ca31ec77219361d73ec
quarter_res_trees_Scan_1002_2.lsp,1002,quarter,2,45765697,3b2596ade6e35c4aad1d02f6513df67cb22fa38219a11fbe6234eb7973d67f0f
quarter_res_trees_Scan_1002_3.lsp,1002,quarter,3,37038151,852d53ca11fde287fa89965fc82390a59e0a83ead8ddd492d7f701aa36c0b108
quarter_res_trees_Scan_1002_4.lsp,1002,quarter,4,6230037,3cb156ce71f69d5a8c35b9f69ede97d115780a13a0dad218f0f565618bd1bff2
quarter_res_trees_Scan_1002_5.lsp,1002,quarter,5,56734665,23500a909dbc4d5b4ceccb3911983e35b9fb0018d650126ed19dddebed0f2c8c
quarter_res_trees_Scan_1003_0.lsp,1003,quarter,0,31679962,965a9430fa19f4a39c15b8c9848a086f690962438c131c9b66581c955746ea86
quarter_res_trees_Scan_1003_1.lsp,1003,quarter,1,42363354,80785437afc5399e9a13055d3bab11778702ed8d712d4a9bcaa539ba932086f1
quarter_res_trees_Scan_1003_2.lsp,1003,quarter,2,38282194,c81c047771b0bb5a75120887dac8a4062222923745e049ee1945a42a2a4f9ce0
